RowID,stratum,lcode,sdate,utm_e,utm_n,snag
1,SCB,D25.RS,6/17/1999,750250,4467650,1
25,SCB,D16.RS,8/4/2016,743800,4454550,1
48,MCB-U,D4.RS,9/5/2001,816445,4119090,0
156,SCB,D15.RS,9/17/2002,743600,4454000,1
170,SCB,82275.10565,10/19/1995,822745,4105640,1
218,BWC-S,F53A.RS,10/26/2011,759450,4482250,0
299,BWC-S,F233A.RS,9/11/1998,745700,4457900,0
378,MCB-U,D7.RS,9/22/2015,745920,4307035,0
438,BWC-S,F380A.RS,9/4/2012,712750,4428750,1
456,BWC-S,F30A.RS,10/24/2013,781050,4493900,0
463,SCB,C106A.RS,10/15/1999,820791,4113718,1
573,SCB,D22.RS,7/6/1998,743550,4455500,1
598,SCB,D34.RS,8/12/2005,738450,4448800,1
616,BWC-S,F365A.RS,8/3/2009,781650,4494300,0
649,MCB-U,M070.2,10/29/1993,809550,4155709,1
719,MCB-W,M074.9E,8/30/1996,807535,4162651,1
754,SCB,D15.RS,8/31/2010,727170,4314185,1
764,SCB,D11.RS,9/30/2003,743650,4454750,1
820,TRI,BM00.7S,6/19/2000,808309,4164557,0
903,BWC-S,F54A.RS,8/17/2012,759550,4482100,0
969,SCB,C33A.RS,10/30/2001,704870,4307385,1
1027,MCB-U,D2.RS,9/13/2012,809995,4156590,0
1028,MCB-U,D32.RS,9/26/2007,747400,4462000,0
1060,MCB-U,D7.RS,10/26/2017,706320,4306635,0
1087,BWC-S,F277A.RS,10/20/2004,759550,4482200,0
1123,BWC-S,D17.RS,9/30/2013,736320,4310685,0
1124,MCB-U,D32.RS,8/4/2000,784600,4502100,0
1140,BWC-S,D24.RS,6/23/2003,721950,4437100,0
1141,BWC-S,D22.RS,6/30/2008,714900,4430500,1
1165,MCB-U,D3.RS,9/1/2017,816045,4146140,0
1178,MCB-U,D9.RS,9/24/2013,738250,4449349,0
1252,BWC-S,D32.RS,9/26/1996,746000,4458300,1
1303,IMP-S,D23.RS,10/17/2008,743970,4306635,1
1336,SCB,81775.1182,8/16/1996,817745,4118190,NA
1337,SCB,C90A.RS,7/21/1994,820045,4115490,1
1376,SCB,D11.RS,9/17/2004,734570,4311985,1
1409,BWC-S,F269A.RS,8/9/2005,712750,4428900,1
1457,BWC-S,D20.RS,7/11/2017,741870,4307185,0
1458,MCB-U,B24A.RS,8/26/1999,813445,4123740,1
1520,BWC-S,D16.RS,10/4/2004,727020,4314035,0
1521,MCB-W,M227.3W,10/21/1994,713145,4304994,0
1567,SCB,D10.RS,10/4/2006,810595,4129040,0
1568,SCB,D11.RS,8/8/1997,822745,4105390,0
1618,IMP-S,D23.RS,10/9/2007,746020,4305435,1
1628,MCB-U,D4.RS,10/29/2007,815145,4119890,1
1655,BWC-S,F170A.R,10/24/2006,722550,4438750,1
1665,BWC-S,D33.RS,10/20/1997,722700,4439700,0
1666,BWC-S,F10A.RS,7/30/1996,737520,4309485,1
1760,BWC-S,F286A.RS,7/24/1997,733350,4445300,1
1780,SCB,D16.RS,8/4/2008,740950,4450200,0
1797,SCB,D20.RS,9/10/1999,715350,4430900,1
1816,BWC-S,D29.RS,10/16/2014,747100,4460050,0
1817,BWC-S,F200A.RS,10/24/1994,712700,4428650,1
1930,BWC-S,F72A.RS,8/22/2017,760000,4482300,0
1935,MCB-U,D28.RS,7/2/2008,778900,4494750,1
1955,MCB-U,D2.RS,7/1/2016,739770,4311085,0
1975,MCB-U,D1.RS,9/23/2008,719720,4316385,0
2013,SCB,D24.RS,9/30/2015,714450,4430650,1
2097,MCB-U,D8.RS,8/13/2007,745420,4306535,1
2123,BWC-S,F36A.RS,10/15/2003,741820,4307235,1
2170,BWC-S,D24.RS,7/15/2002,722550,4438750,1
2260,BWC-S,D17.RS,10/20/1997,739020,4309385,1
2305,SCB,D5.RS,7/13/1999,807695,4168290,0
2306,TRI,BM00.7S,10/26/2009,808309,4164557,1
2312,MCB-U,D7.RS,10/30/2002,723850,4444500,1
2332,SCB,D11.RS,7/5/2016,704920,4307385,1
2401,SCB,D20.RS,10/23/1995,715850,4431000,1
2429,BWC-S,F29A.RS,9/17/2013,775600,4493950,0
2513,BWC-S,F404A.RS,10/26/2000,746400,4458750,1
2648,BWC-S,D17.RS,6/20/2008,724450,4441500,1
2709,SCB,D10.RS,10/7/2011,816595,4138340,1
2738,BWC-S,D27.RS,6/28/2013,759450,4482600,1
2780,IMP-S,D24.RS,9/3/2003,744120,4306485,1
2858,SCB,D33.RS,10/17/2000,738400,4449050,1
2870,BWC-S,F3A.RS,7/29/2003,737920,4309435,1
2888,SCB,D10.RS,9/27/2001,730120,4312385,0
2979,BWC-S,D16.RS,6/17/2002,735819,4312596,1
2991,MCB-U,D8.RS,7/25/1996,763900,4486500,0
3008,BWC-S,D29.RS,8/11/2005,760700,4481100,0
3033,SCB,D11.RS,6/27/1996,726020,4314485,1
3046,TRI,HD00.9M,9/19/2014,808024,4127458,1
3193,SCB,D27.RS,8/26/1999,742400,4452800,0
3221,MCB-W,M227.3W,9/1/2015,713145,4304994,0
3297,MCB-W,M235.0W,10/7/2015,703215,4309782,0
3359,SCB,I113.0Tb,10/9/2009,743494,4454903,1
3449,MCB-U,D31.RS,8/28/2002,763100,4484100,0
3485,MCB-U,D1.RS,9/21/2010,738600,4451950,0
3525,SCB,D10.RS,8/5/2015,733820,4312585,1
3568,MCB-U,D8.RS,8/7/1997,746670,4306485,1
3608,BWC-S,D15.RS,8/17/2011,729820,4313085,0
3609,SCB,D15.RS,7/20/2000,738750,4449500,1
3625,SCB,D9.RS,6/18/2012,736870,4312485,0
3699,MCB-U,B16A.RS,10/13/2006,820245,4113540,0
3795,MCB-U,D19.RS,10/11/2000,746270,4306285,1
3834,BWC-S,F98A.RS,8/12/1994,746000,4458300,0
4141,SCB,D21.RS,8/18/2000,716220,4307435,1
4152,BWC-S,D31.RS,8/13/1999,775600,4494000,0
4153,MCB-W,M225.1W,6/21/2007,715436,4308059,0
4207,MCB-U,D1.RS,8/7/2013,732220,4311385,1
4248,MCB-U,D11.RS,6/30/2011,714050,4430500,0
4251,BWC-S,F255A.RS,10/20/1999,726950,4445350,1
4274,MCB-U,D8.RS,8/15/2002,746620,4305835,0
4283,SCB,80785.1689,8/28/1997,807845,4168890,0
4295,MCB-U,D33.RS,9/21/2006,719150,4434800,1
4351,MCB-U,D5.RS,10/19/2004,712470,4305585,0
4420,BWC-S,D13.RS,10/16/2002,736970,4309985,0
4421,SCB,C79A.RS,9/15/1994,808795,4131840,1
4439,MCB-W,M040.4E,10/4/2000,815886,4119870,0
4599,TRI,BM00.7S,11/5/1993,808267,4164557,1
4682,SCB,D14.RS,8/28/1995,707020,4306135,1
4704,BWC-S,E17A.RS,8/27/1998,742420,4306635,1
4748,TRI,BM00.7S,9/3/1998,808309,4164557,1
4780,TRI,HD00.9M,7/29/2011,808024,4127458,1
4900,MCB-W,M219.8E,10/22/2001,720101,4314977,0
4950,BWC-S,F2A.RS,9/11/2014,726720,4313935,1
5023,SCB,C14A.RS,9/7/2005,704470,4309635,0
5051,BWC-S,F372A.RS,10/19/2017,713900,4430050,1
5104,BWC-S,F7A.RS,10/30/2007,740470,4309135,1
5181,IMP-S,D21.RS,10/19/2009,744170,4306785,0
5418,MCB-W,D4.RS,7/26/1994,816395,4142040,0
5419,MCB-U,D16.RS,7/7/1995,749450,4467050,1
5431,BWC-S,F14A.RS,10/7/2016,731120,4311785,1
5454,BWC-S,F39A.RS,6/18/2012,743070,4306735,1
5465,SCB,D35.RS,7/13/2007,749900,4467250,0
5835,MCB-U,D3.RS,9/11/2009,815645,4146990,0
5853,BWC-S,D18.RS,10/4/1999,741770,4308085,0
5854,BWC-S,F76A.RS,6/16/1995,784400,4499850,1
5871,MCB-W,M225.1W,10/28/2016,715436,4308059,0
5902,SCB,C77A.RS,7/15/2010,810395,4129740,1
5906,BWC-S,F219A.RS,6/26/2007,719650,4433200,0
5966,IMP-S,H5A.RS,8/10/2004,744370,4306635,0
5991,MCB-U,D5.RS,6/27/2014,760450,4480150,1
6013,SCB,C93A.RS,10/4/2000,820745,4113640,1
6107,BWC-S,D15.RS,7/14/1994,736520,4310285,0
6108,TRI,BM00.7S,10/16/2001,808309,4164557,0
6132,BWC-S,D21.RS,8/28/2007,719800,4433650,0
6210,MCB-U,D17.RS,7/13/1995,755700,4475300,1
6235,SCB,D14.RS,7/17/1996,703420,4309535,1
6272,MCB-U,D33.RS,6/27/2002,782650,4499550,0
6283,IMP-S,D23.RS,6/27/1997,745720,4306235,1
6303,MCB-U,D3.RS,10/28/2014,779850,4495200,0
6322,SCB,D18.RS,8/30/2017,741400,4452350,1
6373,SCB,D9.RS,10/14/1998,719720,4315635,1
6408,MCB-U,D19.RS,10/7/1996,783650,4500900,NA
6433,MCB-U,D2.RS,8/13/2013,781650,4494550,0
6534,SCB,D10.RS,9/1/2004,820395,4114040,0
6613,SCB,D5.RS,10/2/2003,715700,4431050,0
6620,MCB-U,M070.2A,8/4/2005,809550,4155709,0
6646,MCB-U,B25A.RS,10/20/2017,749100,4465350,0
6686,BWC-S,F155A.RS,8/16/2012,745950,4459200,1
6688,BWC-S,D16.RS,10/9/2017,721020,4314335,1
6689,IMP-S,D21.RS,7/1/2004,744070,4306735,0
6690,SCB,D7.RS,7/12/1999,817445,4140790,1
6800,SCB,D10.RS,10/19/1999,807945,4168990,0
6801,MCB-U,D8.RS,6/26/2009,739670,4311135,0
6831,MCB-U,D1.RS,8/28/2007,722020,4316135,0
6892,BWC-S,D19.RS,8/13/2013,737220,4309885,0
6929,IMP-S,D22.RS,8/7/1995,745670,4306135,0
6971,SCB,I113.0Tb,7/6/2009,743494,4454903,1
6999,SCB,C154A.RS,7/1/1999,811045,4129140,1
7134,MCB-U,D2.RS,10/21/2010,809195,4133790,1
7153,MCB-U,B30A.RS,8/5/2010,746870,4305685,1
7196,SCB,D13.RS,9/27/1994,725570,4314585,1
7251,SCB,D7.RS,10/20/2005,807845,4168740,0
7291,MCB-U,D3.RS,6/20/2014,730870,4313285,0
7338,BWC-S,F309A.RS,6/21/2012,722950,4439250,1
7468,MCB-U,D3.RS,9/7/2016,766700,4490400,1
7553,SCB,I113.0T,7/26/1993,743494,4454903,1
7565,MCB-W,M227.3W,7/29/2013,713145,4304994,0
7653,BWC-S,D32.RS,6/23/2011,745550,4458400,0
7677,BWC-S,D15.RS,9/9/2003,727020,4314035,0
7704,MCB-U,D1.RS,9/19/2003,760150,4480200,1
7732,SCB,D10.RS,7/17/2002,707120,4306135,0
7772,SCB,D23.RS,7/11/2013,714900,4430849,1
7872,SCB,D10.RS,6/25/1999,716720,4310635,1
7882,BWC-S,F287A.RS,10/24/2002,759450,4481600,0
7962,MCB-U,D5.RS,6/21/1996,782750,4499450,1
7982,SCB,D11.RS,7/12/2012,809395,4131090,0
7983,TRI,BM00.7S,7/2/2007,808309,4164557,1
7999,SCB,I113.0T,8/2/1993,743494,4454903,0
8030,BWC-S,F311A.RS,8/28/2015,722150,4438200,0
8151,MCB-U,D4.RS,7/30/2001,714570,4306935,0
8178,BWC-S,D27.RS,7/23/2012,745450,4457650,0
8189,BWC-S,E1A.RS,9/7/2000,737920,4309485,0
8256,BWC-S,D32.RS,7/20/1998,724200,4440250,0
8272,MCB-U,D3.RS,9/18/2013,814045,4150889,0
8287,SCB,D13.RS,10/25/2011,766300,4490000,0
8288,MCB-U,D34.RS,8/13/2002,716200,4431500,1
8317,SCB,D7.RS,10/15/1999,819945,4115540,0
8318,SCB,D15.RS,6/21/2016,817545,4118490,0
8341,SCB,D17.RS,8/15/2011,743450,4453900,0
8366,BWC-S,E3A.RS,9/8/2000,740720,4309285,1
8387,SCB,I113.0T,10/6/2006,743494,4454903,1
8537,SCB,D22.RS,9/16/2014,738550,4449350,1
