FID,Perimeter,Area,Acres,Hectares,LCU_C1,LCU_N1,LCU_C2,LCU_N2,COVER_C,COVER_N,HEIGHT_C1,HEIGHT_C2,HEIGHT_N,CLASS_31,CLASS_31_N,CLASS_31_D,CLASS_15_C,CLASS_15_N,CLASS_7_C,CLASS_7_N,HNA_C1,HNA_C2,HNA_N1,HYDRO_C1,HYDRO_C2,HYDRO_N,HYD_REG_C,HYD_REG_N,LAND_WATER,NVCS2_CODE,NVCS2_DESC
16,11453.957416900001000,3260018.380129999900000,0.519720305985000,0.210323345813000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
17,12274.267120500001000,3963883.301440000100000,0.631932216968000,0.255733895076000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
18,4285.473227939999600,561218.669970000050000,0.089470887851000,0.036207583711800,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
19,85160.692590399995000,12639925.422800001000000,2.015088610670000,0.815477428579000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
20,66826.906647800002000,147865274.826000010000000,23.573052945099999,9.539676070660001,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
21,25298.284717800001000,31428878.251699999000000,5.010470591600000,2.027665509290000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
22,122378.491146999990000,14496904.008800000000000,2.311132793970000,0.935282259030000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
23,106988.932766000000000,119795035.785000000000000,19.098025039700001,7.728696528720000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
24,64605.089683500002000,204219237.088000000000000,32.557142939499997,13.175408300000001,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
25,136278.664893999990000,17828329.366200000000000,2.842236979360000,1.150212497390000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
26,25907.350873500000000,4343321.808389999900000,0.692423255342000,0.280213749790000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
27,19087388.994899999000000,193745244514.000000000000000,30887.352775600000000,12499.668195099999000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
28,10150.923844400000000,5984618.422720000100000,0.954082877819000,0.386103642160000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
29,28024.003588799998000,16540673.380899999000000,2.636955632850000,1.067138083840000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
30,8792.403635459999400,3470762.554500000100000,0.553317670789000,0.223919716966000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
31,60828.455628099997000,50457111.076800004000000,8.043999189619999,3.255290978230000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
32,51750.488864300001000,13305698.082699999000000,2.121227757810000,0.858430417507000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
33,22575.034060099999000,7073834.625710000300000,1.127728456550000,0.456375514712000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
34,20508.672203499998000,11960755.423699999000000,1.906813626110000,0.771660096913000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
35,37619.400452100002000,24318681.655900002000000,3.876945218580000,1.568944065710000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
36,39479.462208899997000,20971825.827399999000000,3.343381068790000,1.353018315080000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
37,12060.412026900000000,3637967.986889999800000,0.579973980157000,0.234707142642000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
38,34476.731713000001000,26824647.640200000000000,4.276452600520000,1.730618967150000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
