FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
370,16035,MCB-U,D13.RS,6/19/1998 0:00:00,738250,4449550,1,10219,52.187363674700002
371,16045,BWC-S,D17.RS,6/19/2003 0:00:00,759400,4478750,0,12516,79.802406053900000
372,16046,BWC-S,D17.RS,9/22/1999 0:00:00,732770,4310985,0,346,3.921000000090000
373,16047,SCB,D16.RS,10/12/2015 0:00:00,743450,4453350,0,10224,27.457864417500002
374,16168,BWC-S,F4A.RS,10/29/2002 0:00:00,738720,4309435,1,340,102.147839664000000
375,16246,BWC-S,D9.RS,9/11/2001 0:00:00,699820,4319385,0,413,79.472490999100003
376,16374,MCB-U,D6.RS,6/16/2004 0:00:00,738750,4452600,0,11042,24.254599471799999
377,16392,MCB-U,D3.RS,9/28/2017 0:00:00,781700,4494400,0,11200,41.077085461000003
378,16404,BWC-S,D28.RS,9/22/2016 0:00:00,761300,4478550,0,11613,31.639669900099999
379,16439,BWC-S,D30.RS,6/27/1996 0:00:00,737000,4445600,1,11002,19.555443770600000
380,16460,BWC-S,D19.RS,7/7/2016 0:00:00,739270,4309335,1,314,32.593357936600000
381,16499,BWC-S,D12.RS,8/25/2004 0:00:00,740670,4309185,0,209,25.537438510299999
382,16572,SCB,D20.RS,7/22/2015 0:00:00,739100,4449450,1,10627,8.504037121330001
383,16646,BWC-S,D3.RS,9/13/1999 0:00:00,759500,4481500,0,11131,31.608796720000001
384,16647,MCB-U,D31.RS,9/28/2007 0:00:00,762400,4482800,0,9874,49.287930227200000
385,16663,SCB,D9.RS,6/25/2008 0:00:00,750000,4467300,1,10369,41.121689355699999
386,16677,BWC-S,D34.RS,7/13/1995 0:00:00,729450,4445250,1,10584,25.939457642899999
387,16733,SCB,D15.RS,6/17/2002 0:00:00,749250,4465950,0,11076,46.995296095900002
388,16734,SCB,D9.RS,9/18/1997 0:00:00,735570,4312785,1,550,102.063214263000010
389,16760,SCB,D15.RS,10/11/2013 0:00:00,819945,4115340,0,1731,168.999153608000000
390,16761,SCB,D15.RS,9/17/2014 0:00:00,766650,4490200,1,11166,18.053161344799999
391,16783,MCB-U,B40A.RS,6/15/1993 0:00:00,745265,4307385,1,945,639.076061841999940
392,16808,MCB-U,D13.RS,10/19/1999 0:00:00,752300,4473900,1,12215,71.299587680200005
393,16815,BWC-S,D25.RS,9/28/2015 0:00:00,762500,4485550,0,11998,431.040501789000020
394,16816,SCB,D11.RS,7/13/2004 0:00:00,816645,4137440,1,1981,17.313244616100000
395,16837,BWC-S,D12.RS,9/7/2007 0:00:00,740570,4309135,1,310,16.878650306699999
396,16901,IMP-S,D23.RS,8/7/1995 0:00:00,745770,4305635,0,643,470.327283372000010
397,16932,SCB,D12.RS,8/2/1999 0:00:00,718370,4312185,1,924,251.150141623000000
398,16979,MCB-U,D1.RS,7/3/2007 0:00:00,815595,4148690,0,2306,53.235136446100000
399,16995,SCB,D13.RS,8/3/2016 0:00:00,707520,4305885,0,283,143.879960125999990
400,17022,BWC-S,D15.RS,7/8/2011 0:00:00,735720,4312435,0,550,13.043049555900000
401,17048,SCB,C39A.RS,7/26/1994 0:00:00,809645,4130390,0,2249,170.717536765999990
402,17066,MCB-U,D4.RS,9/19/2012 0:00:00,757500,4477600,0,11129,36.182516296899998
403,17088,SCB,D15.RS,8/12/2009 0:00:00,722800,4441650,1,10973,13.829531131400000
404,17179,SCB,D10.RS,6/21/2007 0:00:00,716770,4309935,1,544,11.353174686099999
405,17231,BWC-S,D26.RS,6/28/2013 0:00:00,761550,4483100,1,12744,239.260789980000000
406,17233,SCB,C36A.RS,10/9/1998 0:00:00,819982,4115607,1,1731,0.000000000000000
407,17283,IMP-S,D21.RS,9/18/1996 0:00:00,744220,4306785,NA,201,17.183899325300001
408,17331,MCB-U,D33.RS,6/19/2003 0:00:00,762150,4481600,1,10731,45.212878876500000
409,17346,BWC-S,D26.RS,8/10/2017 0:00:00,783450,4499050,0,12009,0.000000000000000
410,17395,BWC-S,F296A.RS,7/17/2013 0:00:00,723600,4439749,1,10041,51.837426732700003
411,17450,SCB,D12.RS,6/19/2000 0:00:00,741350,4451150,1,10636,13.825607646900000
412,17524,SCB,D22.RS,8/27/2001 0:00:00,719220,4315185,1,586,63.431050315000000
413,17554,MCB-U,D31.RS,7/1/2010 0:00:00,728450,4446450,1,10605,46.514744999900003
414,17562,MCB-U,D4.RS,6/30/2011 0:00:00,816095,4145940,1,2302,77.963417664600001
415,17563,SCB,D12.RS,8/24/2010 0:00:00,700620,4311685,1,374,20.084619953400001
416,17572,IMP-S,D24.RS,9/30/1999 0:00:00,745620,4305635,1,643,439.141300612000010
417,17692,MCB-U,D11.RS,7/11/1997 0:00:00,750650,4468800,0,12491,37.408541974999999
418,17703,SCB,D35.RS,6/22/2004 0:00:00,716100,4431100,1,10146,34.594438811300002
419,17717,BWC-S,F374A.RS,8/12/2002 0:00:00,722100,4438000,1,9814,45.628412457899998
420,17815,MCB-U,D7.RS,8/16/2013 0:00:00,821495,4111140,0,2182,42.537284514699998
421,17851,BWC-S,F7A.RS,6/26/1998 0:00:00,738770,4309435,1,210,107.425799999000010
422,17852,BWC-S,D30.RS,9/14/1998 0:00:00,750300,4467750,0,10690,72.224330220799999
423,17853,SCB,D12.RS,8/1/2012 0:00:00,703720,4310435,1,958,42.122204906400000
424,17876,BWC-S,F380A.RS,10/18/2012 0:00:00,712750,4428350,1,10457,96.555165201299999
425,17932,IMP-S,D21.RS,6/15/1993 0:00:00,744615,4306485,0,284,18.283658763100000
426,18009,BWC-S,F19A.RS,10/4/2005 0:00:00,727520,4313585,1,569,47.658273753700001
427,18066,MCB-U,D1.RS,8/12/1994 0:00:00,720320,4316085,1,588,56.666470486000001
428,18082,BWC-S,D19.RS,10/25/2005 0:00:00,735870,4312385,1,550,56.915210467700000
429,18124,SCB,D7.RS,6/15/2010 0:00:00,777000,4494200,1,11204,50.402841488000000
430,18157,MCB-U,D1.RS,7/7/2011 0:00:00,782950,4495850,0,10819,52.766538545600000
431,18158,BWC-S,D21.RS,8/8/2006 0:00:00,729900,4443850,0,11929,107.400228505000000
432,18171,MCB-U,D30.RS,8/5/2009 0:00:00,740650,4454350,0,10226,65.855533999200006
433,18188,BWC-S,D28.RS,7/20/2017 0:00:00,782050,4493800,0,11198,294.030545298999980
434,18189,BWC-S,D19.RS,10/18/2010 0:00:00,733970,4310585,0,346,0.000000000000000
435,18190,MCB-U,D4.RS,7/20/2017 0:00:00,814095,4150790,0,1816,56.632541303200000
436,18211,BWC-S,D20.RS,8/11/2006 0:00:00,733050,4444850,0,11810,127.005786771999990
437,18212,BWC-S,D25.RS,8/26/2010 0:00:00,712750,4428750,1,10457,94.477548929700006
438,18272,BWC-S,D19.RS,7/14/2003 0:00:00,742370,4307185,0,72,0.000000000000000
439,18297,SCB,D6.RS,10/29/2006 0:00:00,816795,4118190,0,1740,136.093652158000000
440,18298,MCB-U,D1.RS,10/13/2000 0:00:00,723920,4315285,1,578,200.489695618000010
441,18334,BWC-S,D35.RS,7/21/2016 0:00:00,719900,4436150,0,12332,51.056348953399997
442,18481,MCB-U,D3.RS,11/11/1993 0:00:00,809284,4134040,1,1967,51.810719788400000
443,18593,BWC-S,F278A.RS,10/18/2005 0:00:00,759450,4481750,1,10383,54.786833029900002
444,18660,SCB,D35.RS,10/21/2005 0:00:00,743450,4453500,1,10644,25.097394412400000
445,18742,SCB,D14.RS,10/13/2009 0:00:00,728620,4313035,1,599,103.345110632000000
446,18763,MCB-U,D2.RS,8/6/2015 0:00:00,701320,4314935,1,581,87.805871922300000
447,18837,SCB,D12.RS,7/8/1993 0:00:00,749475,4466725,0,12484,2.227465347030000
448,18851,TWZ,I80.0,7/21/1995 0:00:00,710889,4423794,1,10432,48.672626217400001
449,18896,SCB,D10.RS,10/8/1996 0:00:00,716320,4307735,1,505,90.094380832799999
450,18928,IMP-S,D23.RS,10/25/2010 0:00:00,745470,4305635,0,643,455.675003548000010
451,18970,SCB,D36.RS,7/3/2002 0:00:00,743500,4454900,1,11046,11.546675518500001
452,19014,SCB,D10.RS,9/17/2015 0:00:00,734170,4312635,1,551,175.367054104999990
453,19037,SCB,D22.RS,7/22/1999 0:00:00,714900,4430850,1,10886,45.479960482199999
454,19076,IMP-S,D24.RS,10/25/2010 0:00:00,746520,4305135,0,5891,282.312124095000000
455,19135,SCB,I113.0Tb,8/31/2016 0:00:00,743494,4454903,1,11046,14.125612611799999
456,19141,BWC-S,D28.RS,10/17/2012 0:00:00,760950,4482550,0,11995,436.142925223000020
457,19142,BWC-S,F427A.RS,7/25/1997 0:00:00,712750,4428150,1,10457,76.561497850099997
458,19202,MCB-U,D5.RS,6/19/2009 0:00:00,762350,4482650,1,11135,29.758378827900000
459,19250,BWC-S,D29.RS,8/24/1995 0:00:00,751800,4470600,0,11973,136.110705319000000
460,19251,SCB,D13.RS,10/13/2015 0:00:00,717720,4311235,1,544,48.330007184199999
461,19283,IMP-S,D21.RS,9/28/1998 0:00:00,744120,4306735,0,201,114.496256039000000
462,19348,BWC-S,D29.RS,7/13/2017 0:00:00,762000,4484400,0,9984,480.387662621999990
463,19425,BWC-S,F428A.RS,10/15/1998 0:00:00,712750,4428800,1,10457,84.539422369700006
464,19525,MCB-U,D31.RS,9/24/2008 0:00:00,756150,4475550,1,10256,49.384682929999997
465,19580,BWC-S,D16.RS,6/17/2010 0:00:00,760050,4479050,1,12516,88.348961851599995
466,19583,BWC-S,D34.RS,9/6/2011 0:00:00,720050,4437400,1,10485,38.270217946000002
467,19629,MCB-U,D5.RS,6/18/2012 0:00:00,756350,4476400,1,11982,104.136287020000000
468,19803,MCB-U,D27.RS,8/13/2001 0:00:00,748500,4463650,1,11657,41.712604404300002
469,19827,MCB-U,D29.RS,8/22/2000 0:00:00,745900,4460400,0,12193,185.150952676999990
470,19847,IMP-S,H3A.RS,7/1/2004 0:00:00,743720,4306485,0,70,330.661191159999990
471,19957,BWC-S,F3A.RS,6/16/2014 0:00:00,720920,4314235,1,574,17.649679421500000
472,20001,MCB-U,D4.RS,10/12/1999 0:00:00,714270,4307435,0,994,433.804116637999980
473,20049,SCB,D18.RS,8/21/2008 0:00:00,722800,4441700,1,10973,16.194646644300001
474,20121,MCB-U,D7.RS,6/28/2007 0:00:00,744970,4307435,0,741,771.401572833000050
475,20178,SCB,D11.RS,8/24/2007 0:00:00,810745,4129340,1,2247,84.592288747300003
476,20204,MCB-U,D30.RS,8/11/2004 0:00:00,738300,4449200,1,12715,41.494414183600000
477,20246,MCB-U,D1.RS,8/1/2005 0:00:00,783300,4497000,0,10822,75.410262468900001
478,20289,IMP-S,D23.RS,10/1/2001 0:00:00,744320,4306385,1,284,14.236280392999999
479,20303,SCB,D16.RS,9/15/2011 0:00:00,822595,4105790,0,2138,189.978397645000000
480,20320,MCB-U,D17.RS,6/18/1998 0:00:00,784950,4502500,1,12800,60.795055558400001
481,20330,TRI,HD00.9M,6/30/2017 0:00:00,808024,4127458,1,2235,35.484466631899998
482,20380,MCB-U,D4.RS,6/27/2003 0:00:00,719870,4314135,1,568,26.679378649600000
483,20396,MCB-U,D5.RS,10/13/2009 0:00:00,736150,4447800,1,10619,30.208358207100002
484,20406,SCB,D14.RS,10/15/1993 0:00:00,712470,4304235,1,278,55.164367366800001
485,20456,MCB-U,D1.RS,6/27/2016 0:00:00,806945,4164690,0,2347,448.980479946000000
486,20470,MCB-U,D6.RS,10/6/2017 0:00:00,745570,4306685,1,281,290.219818267999980
