RowID,stratum,lcode,sdate,utm_e,utm_n,snag
56899,TWZ,I157.8Va,8/10/2015,277614,4500738,1
57814,MCB-W,M059.0W,8/4/2010,284700,4136984,0
57947,MCB-W,M060.7E,7/30/2014,285922,4139423,0
59483,TWZ,I157.8Va,8/14/2012,277614,4500738,0
60029,MCB-U,D2.RS,9/6/2002,283892,4145645,0
60475,MCB-U,D3.RS,9/26/2002,281646,4120535,0
61283,SCB,D10.RS,8/15/2002,284582,4139026,1
62339,TWZ,I157.8V,10/20/1995,277614,4500738,0
62671,MCB-W,M070.3E,9/14/2009,279731,4152869,0
63634,MCB-U,M070.2A,10/2/2015,279162,4152805,0
63841,SCB,D16.RS,9/25/2015,288438,4103446,1
64127,MCB-W,M079.3E,10/29/2003,279036,4166764,0
64932,SCB,D12.RS,6/27/2002,278585,4126698,1
65398,TWZ,I157.8Vb,9/3/2010,277614,4500738,0
66435,MCB-W,M056.0W,10/30/2012,281654,4135292,0
66805,MCB-W,M053.0W,8/19/2002,278082,4132453,0
67109,MCB-W,M031.2E,10/20/2004,288320,4103950,0
67204,MCB-W,M041.0W,9/25/2009,282046,4117222,0
68501,MCB-W,M055.8E,10/7/2011,281495,4134712,0
69466,MCB-W,M031.2E,7/13/2007,288320,4103950,0
69602,MCB-W,M072.9E,10/14/2014,278094,4156747,0
71163,MCB-W,M069.9W,9/13/2011,279228,4152382,0
71476,TWZ,I157.8V,9/29/1994,277614,4500738,0
71633,MCB-W,M036.0E,7/3/2002,286566,4110647,0
72844,MCB-W,M063.9E,7/23/2004,285048,4144561,1
73400,TWZ,I157.8V,8/10/2000,277614,4500738,0
73856,TWZ,I157.8V,9/29/1993,277614,4500738,1
75040,MCB-W,M031.9E,7/31/2015,288723,4104826,0
75409,MCB-W,M071.0E,7/15/2010,279520,4153663,0
75487,TWZ,I157.8Va,8/10/2017,277614,4500738,0
75933,MCB-W,M060.8W,10/13/2017,285464,4139879,1
76561,SCB,D9.RS,7/9/2015,277686,4164811,1
77483,MCB-W,M038.4W,7/30/2009,283788,4113592,1
78036,MCB-W,M059.5W,10/29/2010,284955,4137810,0
78254,MCB-U,D3.RS,7/2/2002,286604,4110561,0
78606,MCB-W,M047.0E,8/23/2012,280404,4125786,0
83614,TWZ,I157.8Va,6/15/2010,277614,4500738,1
83713,TWZ,I157.8Va,7/14/2015,277614,4500738,0
84778,TWZ,I157.8Va,9/28/2012,277614,4500738,0
84843,MCB-W,M066.0E,10/3/2005,283407,4147580,0
85374,MCB-W,M077.0E,10/29/2010,277867,4163232,0
85381,MCB-U,D3.RS,10/19/2015,277320,4157200,0
85543,SCB,C60A.RS,9/19/2002,277075,4129647,0
86133,MCB-U,M070.2A,8/4/2015,279140,4152775,1
86744,MCB-W,M073.65E,7/23/2004,277805,4157388,0
86949,MCB-W,M047.6W,10/26/2015,279424,4125189,0
87322,TRI,HD00.9M,7/11/1997,275800,4124800,1
88047,TWZ,I157.8V,9/20/2005,277614,4500738,1
88236,TWZ,I157.8V,6/15/2001,277614,4500738,1
90975,MCB-W,M077.6E,8/19/2003,278204,4163986,0
92019,TWZ,I157.8V,10/22/1993,277614,4500738,1
92317,MCB-W,M064.8W,6/19/2012,283952,4145721,0
93502,TWZ,I157.8V,6/18/1998,277614,4500738,0
94302,MCB-U,D4.RS,8/21/2015,279890,4133849,0
95340,MCB-W,M031.2E,10/29/2012,288320,4103950,0
95380,MCB-W,M071.9E,9/13/2011,278898,4155326,0
95507,MCB-U,M070.2A,7/28/2015,279115,4152866,1
98167,MCB-W,M077.0E,10/21/2005,277867,4163232,1
98418,MCB-W,M066.0E,8/29/2016,283407,4147580,0
98432,SCB,82260.10595,7/13/1995,289118,4102469,1
98927,TWZ,I157.8Vb,7/7/2010,277614,4500738,0
99093,TWZ,I157.8Va,8/13/2013,277614,4500738,0
99810,MCB-U,D1.RS,10/29/2001,280703,4120800,0
100115,MCB-W,M060.8W,7/19/2016,285464,4139879,0
100595,SCB,D11.RS,7/10/2015,277101,4129525,1
101395,MCB-W,M071.2W,9/13/2012,278815,4154237,0
101554,MCB-W,M053.0E,9/14/2005,278085,4132448,0
101955,TWZ,I157.8Va,8/3/2009,277614,4500738,0
102455,TWZ,I157.8Va,9/30/2011,277614,4500738,0
102607,TRI,HD00.9M,10/30/1998,275800,4124800,1
103448,SCB,D9.RS,8/6/2015,277529,4128444,1
104503,TWZ,I157.8V,10/25/1999,277614,4500738,0
104905,MCB-W,M063.9E,10/17/2008,285048,4144561,0
105006,MCB-W,M075.2W,9/5/2002,276860,4160594,0
105250,MCB-W,M047.2W,6/20/2012,279904,4125257,0
105468,TWZ,I157.8Va,8/6/2010,277614,4500738,0
106532,TWZ,I157.8Vb,10/17/2011,277614,4500738,0
106698,MCB-W,M069.1W,8/30/2013,279802,4151170,0
107319,MCB-W,M041.0W,10/21/2016,282046,4117222,0
108837,TWZ,I157.8Vb,8/29/2008,277614,4500738,0
109647,MCB-W,M075.3W,8/19/2003,276829,4160588,0
111276,SCB,D8.RS,9/5/2002,277868,4165560,0
114060,MCB-W,M076.5E,7/31/2013,277728,4162571,0
114851,MCB-W,M060.6W,7/31/2007,285304,4139392,0
115160,MCB-W,M057.1W,7/18/2017,283113,4135415,0
115360,TWZ,I157.8Va,8/28/2012,277614,4500738,0
115449,MCB-W,M072.1E,10/18/2013,278720,4155578,0
116251,MCB-W,M066.8E,8/25/2017,282475,4148521,1
116691,SCB,D11.RS,6/27/2002,284593,4133895,1
118134,MCB-W,M043.4W,10/29/2001,280760,4121260,0
119263,MCB-W,M031.2E,8/29/2012,288320,4103950,0
119372,MCB-W,M062.2W,7/30/2014,285178,4141841,0
119407,TWZ,I157.8Va,9/27/2010,277614,4500738,0
120535,TWZ,I157.8Va,7/7/2011,277614,4500738,1
120783,MCB-U,D5.RS,7/23/2015,283015,4117072,1
122789,TRI,HD00.9,10/27/1993,275800,4124800,1
122923,MCB-W,M041.4E,7/28/2014,282284,4118002,0
122957,MCB-W,M050.6E,10/15/2004,276732,4129098,0
123066,TWZ,I157.8V,10/4/2005,277614,4500738,0
123115,SCB,81810.1176,7/13/1995,285698,4113563,1
123805,MCB-U,D3.RS,8/21/2015,283644,4135064,0
125552,SCB,D13.RS,9/17/2015,286626,4112320,0
125958,MCB-U,D4.RS,8/19/2002,278677,4133650,0
126627,MCB-U,D3.RS,7/28/2015,281664,4124696,1
127285,MCB-W,M065.6W,7/9/2002,283570,4146199,0
129841,MCB-W,M040.2W,9/14/2012,282765,4116149,0
130761,SCB,D5.RS,6/27/2002,278997,4126303,1
130861,MCB-W,M040.8W,9/30/2011,282235,4116938,0
131536,MCB-W,M064.4W,10/27/2016,284149,4145120,0
131575,SCB,C77A.RS,8/16/2002,288652,4103231,1
