"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
283993,"BWC-S","D20.RS","7/16/1998 0:00:00",0,692,0,0,12003048,2,641370,4843950,15,NA,"P08",NA,NA,NA,NA,NA,NA,NA,0,"Ma","Marsh",149.331306895,"1998","upper"
283994,"SCB","D6.RS","8/19/1998 0:00:00",1,530,0,0,13002425,5,736225,4653535,15,"P13_CFL_31","P13",3195.23883602,3.1,0.486214135759,16862,4.43190958247,51.8539766277,33.3812501327,22.3528239325,"Ma","Marsh",28.1839801773,"1998","upper"
284124,"MCB-W","M697.0J","10/6/2008 0:00:00",0,697,1,0,12006169,5,639636,4851110,15,"P08_SCB_29","P08",7479.82926233,10.73,2.65772430718,1110065,3.12494417925,42.5427809885,17.2436910401,62.1188377376,"Fo","Forest",62.1188377376,"2008","upper"
284155,"MCB-U","D23.RS","7/12/2010 0:00:00",0,762,0,0,11005686,2,574145,4917045,15,"P04_SCB_26","P04",2554.12307907,9.09,3.36635251473,371477,2.12107934398,43.488047871,25.1455075498,73.0258151581,"SdMd","Sand/mud",91.2767118659,"2010","upper"
284156,"MCB-W","M761.4W","10/18/2006 0:00:00",0,761,1,0,11004965,5,575837,4916507,15,NA,"P04",NA,NA,NA,NA,NA,NA,NA,0,"Fo","Forest",0,"2006","upper"
284182,"BWC-S","D22.RS","7/7/1999 0:00:00",1,754,0,0,11002766,5,583445,4909795,15,"P04_CFL_240","P04",12235.2102771,11.94,1.56406218933,2804762,2.54653775287,88.2169586484,14.5699998818,8.83373227768,"Ma","Marsh",105.720391977,"1999","upper"
284287,"BWC-S","D5.RS","8/3/2004 0:00:00",1,552,0,0,13004735,5,717675,4677085,15,"P13_TSC_39","P13",27874.9742098,6.52,1.57721903015,1935247.75,6.442448973,75.6956844555,38.0042838406,34.2597116492,"Fo","Forest",34.2597116492,"2004","upper"
284342,"IMP-S","D26.RS","10/8/1998 0:00:00",1,680,0,1,12003382,5,641920,4827450,15,"P08_CFL_338","P08",5062.24531597,3.7,0.76978946144,162200,3.06408814567,48.6211206769,0,16.855262335,"GrFb","Grass/forbs",1635.95349916,"1998","upper"
284440,"BWC-S","D16.RS","6/25/1993 0:00:00",1,688,0,0,12000034,8,640280,4838615,15,"P08_CFL_42","P08",3876.49195609,1.42,0.492443304536,88276,2.51727635095,62.2883929886,0,3.97106914622,"Ma","Marsh",339.354261114,"1993","upper"
284467,"SCB","C30A.RS","10/6/2011 0:00:00",1,758,0,0,11006097,5,579695,4913595,15,"P04_SC_7","P04",3784.10780096,3.61,1.21324916178,289481.25,2.1560383435,77.9617267656,47.4400726936,20.0302443727,"Ma","Marsh",74.5948025512,"2011","upper"
284587,"BWC-S","D24.RS","8/21/2000 0:00:00",1,757,0,1,11003372,5,581045,4912795,15,"P04_CFL_44","P04",39079.0123346,4.56,0.768208477038,2074792,6.51039099136,94.8273048784,55.7110784077,46.1218726965,"Dv","Developed",340.947034432,"2000","upper"
284622,"BWC-S","D20.RS","8/22/2000 0:00:00",0,759,0,0,11003385,2,578395,4915445,15,"P04_CFL_19","P04",101956.383817,5.42,0.75617603899,6286104,9.68090857796,95.4124250007,38.2085133977,5.07023063389,"Ma","Marsh",16.6545134162,"2000","upper"
284623,"MCB-U","D3.RS","6/20/1996 0:00:00",1,679,0,1,12001822,8,642520,4826550,15,"P08_CFL_338","P08",5062.24531597,3.7,0.76978946144,162200,3.06408814567,48.6211206769,0,9.01650316982,"GrFb","Grass/forbs",666.751757396,"1996","upper"
284647,"BWC-S","D17.RS","7/22/2011 0:00:00",1,794,0,0,11005917,5,534145,4938395,15,"P04_CFL_6","P04",1170.35176567,0.76,0.290378787879,913,2.62646761903,90.9678583678,78.1861421501,2.28590307012,"Fo","Forest",2.28590307012,"2011","upper"
