"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
44401,"SCB","D12.RS","8/19/2009 0:00:00",1,NA,0,0,16009533,5,750150,4467400,15,"LAG_SC_6","LAG",5264.07474706,3.88,1.76619311876,437618.5,2.70846598912,87.5246783835,51.5937906641,37.8501013587,"Fo","Forest",60.0880979733,"2009","lower"
44459,"SCB","D23.RS","9/19/1996 0:00:00",1,NA,0,0,16002599,5,743500,4455450,15,"LAG_SC_10","LAG",23861.313951,4.75,1.76243083155,1152982.25,7.18856045782,98.236282844,93.3459896058,24.6231946969,"Fo","Forest",24.6231946969,"1996","lower"
44530,"MCB-U","D3.RS","6/25/2001 0:00:00",1,NA,0,0,16006058,5,736400,4447800,15,"LAG_USCB_2","LAG",253065.268774,8.51,2.67531250924,22619633.5,23.1267586639,48.5853287951,26.9917054667,15.7364361645,"Ag","Agriculture",15.7364361645,"2001","lower"
44551,"BWC-S","D26.RS","8/3/2009 0:00:00",0,NA,0,0,16009493,2,783400,4499500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"SdMd","Sand/mud",19.1699008558,"2009","lower"
44565,"SCB","C14A.RS","7/1/1999 0:00:00",1,NA,0,0,15003053,5,817345,4118490,15,"OR2_SC_7","OR2",16677.1301677,14.08,1.88918445016,2370312.5,3.29820987158,92.6066704151,59.3807301462,29.004988333,"GrFb","Grass/forbs",59.3071623535,"1999","lower"
44624,"MCB-U","D8.RS","10/15/1997 0:00:00",1,NA,0,0,14001828,5,745470,4306485,15,"P26_USCB_57","P26",5201.30148926,23.9,11.5412920239,9354794.24734,1.6204625038,29.5176904342,10.5779779147,67.5017335394,"Fo","Forest",67.5017335394,"1997","lower"
44643,"SCB","81725.1402","7/11/1997 0:00:00",1,NA,0,0,15001767,5,817245,4140190,15,"OR2_SC_9","OR2",24431.6067199,17.75,3.37063307424,3143958,5.95855252814,97.3093713904,84.8823565247,16.8654914342,"Ma","Marsh",65.4724440809,"1997","lower"
44716,"MCB-U","D7.RS","6/26/2009 0:00:00",1,NA,0,1,14005468,5,744170,4307885,15,"P26_USCB_3","P26",6402.5753966,12.46,6.87097842528,2157659.00096,3.2180019467,48.8422088045,0,20.3136629768,"Dv","Developed",763.795268102,"2009","lower"
44742,"MCB-U","D10.RS","7/12/1999 0:00:00",0,NA,0,0,16004826,5,759000,4479350,15,"LAG_USCB_1","LAG",252888.63427,23.35,2.54889741019,16268847.5,25.8882924173,49.4565711524,29.1405058451,58.1752725229,"Ma","Marsh",58.1752725229,"1999","lower"
44771,"MCB-U","D31.RS","10/20/2010 0:00:00",0,NA,0,0,16009981,5,778700,4494550,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6954930008,"Fo","Forest",71.0822045251,"2010","lower"
