"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
282723,"SCB","D6.RS","8/9/2007 0:00:00",1,NA,0,0,16008805,5,716550,4431350,15,"LAG_SC_8","LAG",2908.85564422,4.1,2.05066291432,245925.75,2.23152016465,79.0025731901,70.46374689,44.213326616,"Fo","Forest",44.213326616,"2007","lower"
282762,"IMP-S","D22.RS","8/2/2010 0:00:00",1,NA,0,1,14005844,3,745670,4305585,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ow","Open water",493.836039995,"2010","lower"
282801,"SCB","I113.0T","8/28/1997 0:00:00",1,NA,0,0,16003350,5,743494,4454903,15,"LAG_SC_10","LAG",23861.313951,4.75,1.76243083155,1152982.25,7.18856045782,98.236282844,93.3459896058,14.1256126118,"Fo","Forest",14.1256126118,"1997","lower"
282856,"MCB-U","D7.RS","7/22/2011 0:00:00",1,NA,0,0,15007251,5,817495,4116590,15,"OR2_SCB_80","OR2",12492.3923108,17.11,4.95397497451,5829837.75,3.04110449976,46.0882196262,31.7343797596,60.0178166886,"Fo","Forest",60.0178166886,"2011","lower"
282861,"SCB","D23.RS","8/30/2012 0:00:00",1,NA,0,0,16010795,5,715200,4430800,15,"LAG_SC_9","LAG",1618.80608218,3.73,2.00796517252,155667.5,1.5806817652,60.7579838937,60.7579838937,14.6240516995,"Fo","Forest",14.6240516995,"2012","lower"
282896,"MCB-U","D4.RS","8/26/2008 0:00:00",0,NA,0,1,14005312,5,703670,4309435,15,"P26_SCB_37","P26",3462.42947041,14.6,4.96170294086,1168357,2.00657240275,33.9141265084,33.2531657395,25.5813046131,"Fo","Forest",25.5813046131,"2008","lower"
282952,"BWC-S","D22.RS","9/9/2003 0:00:00",0,NA,0,0,16007279,5,722200,4437500,15,"LAG_CFL_63","LAG",49283.0040847,2.83,0.546327174343,1004920,8.42281514579,99.4938550356,82.7869119891,120.453068641,"Ma","Marsh",120.453068641,"2003","lower"
282994,"MCB-U","D4.RS","7/21/2011 0:00:00",0,NA,1,1,14006121,5,717120,4312035,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ow","Open water",18.2345961404,"2011","lower"
283022,"SCB","D13.RS","8/5/2009 0:00:00",1,NA,0,0,16009496,5,743400,4455250,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ag","Agriculture",0,"2009","lower"
283039,"SCB","D13.RS","8/3/2004 0:00:00",1,NA,0,0,16007761,5,743850,4454350,15,"LAG_SC_10","LAG",23861.313951,4.75,1.76243083155,1152982.25,7.18856045782,98.236282844,93.3459896058,11.2165254217,"Fo","Forest",11.2165254217,"2004","lower"
283135,"SCB","82045.1147","8/8/1997 0:00:00",1,NA,0,1,15001899,5,820445,4114690,15,"OR2_SC_7","OR2",16677.1301677,14.08,1.88918445016,2370312.5,3.29820987158,92.6066704151,59.3807301462,35.0950048148,"Dv","Developed",35.0950048148,"1997","lower"
283182,"BWC-S","F30A.RS","10/28/2011 0:00:00",1,NA,0,0,14006293,5,738670,4309435,15,"P26_CFL_15","P26",9077.45972914,1.9,1.02276589021,558123,3.43775466019,96.1420201321,64.2829257821,30.5656120319,"Dv","Developed",105.528052232,"2011","lower"
