FID,OBJECTID_1,OBJECTID,Perimeter,Area,Acres,Hectares,LCU_C1,LCU_N1,LCU_C2,LCU_N2,COVER_C,COVER_N,HEIGHT_C1,HEIGHT_C2,HEIGHT_N,CLASS_31,CLASS_31_N,CLASS_31_D,CLASS_15_C,CLASS_15_N,CLASS_7_C,CLASS_7_N,HNA_C1,HNA_C2,HNA_N1,HYDRO_C1,HYDRO_C2,HYDRO_N,HYD_REG_C,HYD_REG_N,LAND_WATER,NVCS2_CODE,NVCS2_DESC,Shape_Leng,Shape_Le_1,Shape_Area
150,2622,2622,25023.045480299999000,25950684.842799999000000,4.137123259560000,1.674234383320000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,635.585355198999990,635.585355198999990,16742.343833100000000
151,2623,2623,36761.979150200001000,27434911.245299999000000,4.373742354950000,1.769990733900000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,933.754270408000020,933.754270408000020,17699.907339099998000
152,2624,2624,60635.461162799998000,32892252.296999998000000,5.243765351910000,2.122076549190000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1540.140713530000100,1540.140713530000100,21220.765491999999000
153,2625,2625,63045.100288499998000,37454489.083700001000000,5.971088582110000,2.416413817720000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1601.345547330000000,1601.345547330000000,24164.138177199999000
154,2626,2626,27015.634041199999000,9691663.767529999800000,1.545069343620000,0.625267379626000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,686.197104650000030,686.197104650000030,6252.673796160000200
155,2627,2627,90075.164178000006000,16067862.298000000000000,2.561578904250000,1.036634204020000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2287.909170129999900,2287.909170129999900,10366.342039800000000
156,2628,2628,195838.698022000000000,113767830.087000000000000,18.137152791700000,7.339845325900000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,4974.302929749999700,4974.302929749999700,73398.453259200003000
157,2629,2629,62999.538851099998000,41155448.341200002000000,6.561104788610000,2.655184905180000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1600.188286820000000,1600.188286820000000,26551.849051699999000
158,2630,2630,77110.311179700002000,13143186.841399999000000,2.095319808150000,0.847945842259000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1958.601903960000100,1958.601903960000100,8479.458422390000100
159,2631,2631,167582.006064999990000,220141351.685999990000000,35.095486379999997,14.202639445399999,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,4256.582954059999800,4256.582954059999800,142026.394453999990000
160,2632,2632,71928.125171899999000,26549196.512100000000000,4.232539490880000,1.712847962170000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1826.974379360000100,1826.974379360000100,17128.479621300001000
161,2633,2633,149123.786855999990000,74647023.627000004000000,11.900415714399999,4.815927376320000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,3787.744186129999900,3787.744186129999900,48159.273763199999000
162,2634,2634,124989.922625000010000,112234878.745000000000000,17.892765844199999,7.240945437120000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,3174.744034679999900,3174.744034679999900,72409.454371000000000
163,2635,2635,52888.960449400001000,8594138.750809999200000,1.370099152960000,0.554459455647000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1343.379595410000100,1343.379595410000100,5544.594557280000100
164,2636,2636,28139.754985600001000,5804326.009410000400000,0.925340209133000,0.374471896823000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,714.749776634999990,714.749776634999990,3744.718968369999900
165,2637,2637,58854.331384400000000,27269352.529500000000000,4.347348569270000,1.759309547800000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1494.900017160000100,1494.900017160000100,17593.095477899999000
166,2638,2638,62376.336684499998000,18941355.837499999000000,3.019678450780000,1.222020513210000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1584.358951790000000,1584.358951790000000,12220.205132100000000
167,2639,2639,25872.520922799999000,7573320.401549999600000,1.207357731600000,0.488600339026000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,657.162031437000000,657.162031437000000,4886.003389909999900
168,2640,2640,25890.503373399999000,14416212.085999999000000,2.298268685270000,0.930076338940000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,657.618785683000060,657.618785683000060,9300.763389339999800
169,2641,2641,46464.574176200003000,51512218.957099997000000,8.212207134020000,3.323362318240000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1180.200184070000000,1180.200184070000000,33233.623182500000000
170,2642,2642,54206.445189099999000,21225054.358100001000000,3.383751396240000,1.369355606970000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1376.843707810000100,1376.843707810000100,13693.556070000001000
171,2643,2643,42906.575405199997000,25434396.392600000000000,4.054815260020000,1.640925517660000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1089.827015290000000,1089.827015290000000,16409.255176600000000
172,2644,2644,239606.417185000000000,465642455.508000020000000,74.233888045200004,30.041388659500001,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,6086.002996479999600,6086.002996479999600,300413.886594999990000
173,2645,2645,24850.513381299999000,15445133.912300000000000,2.462301983270000,0.996458259487000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,631.203039893999970,631.203039893999970,9964.582594969999300
174,2646,2646,28447.891073600000000,20778094.322600000000000,3.312495906450000,1.340519533320000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,722.576433268999950,722.576433268999950,13405.195333199999000
175,2647,2647,94516.861050699998000,20696550.938299999000000,3.299496055620000,1.335258680340000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2400.728270690000000,2400.728270690000000,13352.586803100001000
176,2648,2648,26597.521345199999000,30341390.430399999000000,4.837100555800000,1.957505145010000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,675.577042175999960,675.577042175999960,19575.051450100000000
177,2649,2649,43300.696127099996000,28828767.695400000000000,4.595954445890000,1.859916776640000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1099.837681629999900,1099.837681629999900,18599.167766300001000
178,2650,2650,85988.687368800005000,70674100.696400002000000,11.267042377099999,4.559610280530000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2184.112659179999800,2184.112659179999800,45596.102805000002000
179,2651,2651,47658.093408300003000,57924120.205399998000000,9.234408511470001,3.737032539170000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1210.515572569999900,1210.515572569999900,37370.325391899998000
180,2652,2652,35467.938570300001000,16820037.617100000000000,2.681492580010000,1.085161546900000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,900.885639685000000,900.885639685000000,10851.615469300001000
181,2653,2653,32272.952989300000000,20042885.377900001000000,3.195287052650000,1.293086793040000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,819.733005925000040,819.733005925000040,12930.867930300001000
182,2654,2654,97325.695464899996000,337169606.458999990000000,53.752424251800001,21.752834330300001,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2472.072664800000000,2472.072664800000000,217528.343303000000000
183,2655,2655,28024.339404800001000,41910349.228100002000000,6.681452981210000,2.703888090800000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,711.818220894999970,711.818220894999970,27038.880907800001000
184,2656,2656,36742.071808399996000,40631547.998199999000000,6.477583282030000,2.621384950650000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,933.248623938000040,933.248623938000040,26213.849506400002000
185,2657,2657,72998.087864000001000,72373841.374799997000000,11.538019298900000,4.669270750140000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1854.151431739999900,1854.151431739999900,46692.707501600002000
186,2658,2658,28190.787510499998000,9838238.624840000600000,1.568436674960000,0.634723803120000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,716.046002757999990,716.046002757999990,6347.238031079999900
187,2659,2659,29315.229955899998000,7968756.922450000400000,1.270399213480000,0.514112321609000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,744.606840878999950,744.606840878999950,5141.123216089999900
188,2660,2660,59011.842571800000000,74081327.153400004000000,11.810230963900000,4.779430902630000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1498.900801329999900,1498.900801329999900,47794.309026199997000
189,2661,2661,139952.447757999990000,314932100.444999990000000,50.207265273399997,20.318159392300000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,3554.792173039999900,3554.792173039999900,203181.593923000010000
190,2662,2662,62811.667141400001000,49576763.487599999000000,7.903651969130000,3.198494473170000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1595.416345390000100,1595.416345390000100,31984.944731799998000
191,2663,2663,34897.514841199998000,11062969.278999999000000,1.763686307360000,0.713738526004000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,886.396876977000030,886.396876977000030,7137.385260090000000
192,2664,2664,43515.927622900002000,11816573.076800000000000,1.883827714770000,0.762358028622000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1105.304561620000000,1105.304561620000000,7623.580285830000300
193,2665,2665,225052.965931000010000,313818012.268000010000000,50.029654542300001,20.246282879500001,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,5716.345334620000400,5716.345334620000400,202462.828795000010000
194,2666,2666,104960.252739000000000,149158721.970999990000000,23.779257532900001,9.623124106680001,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2665.990419580000000,2665.990419580000000,96231.241066500006000
195,2667,2667,30587.498066000000000,10352931.112400001000000,1.650490242130000,0.667929703645000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,776.922450874999980,776.922450874999980,6679.297036109999700
196,2668,2668,45985.415664000000000,22700691.903600000000000,3.619001234500000,1.464557838850000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1168.029557870000000,1168.029557870000000,14645.578388399999000
197,2669,2669,75941.687618700002000,18132948.522700001000000,2.890800129240000,1.169865306890000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1928.918865509999900,1928.918865509999900,11698.653068600001000
198,2670,2670,19909.282449599999000,26779228.239799999000000,4.269211725820000,1.727688689120000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,505.695774224999980,505.695774224999980,17276.886891200000000
199,2671,2671,22267.933044500001000,26593276.376699999000000,4.239566813440000,1.715691818720000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,565.605499333000010,565.605499333000010,17156.918187100000000
200,2672,2672,326360.955245000020000,63576435.021700002000000,10.135514714999999,4.101697281860000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,8289.568263220000500,8289.568263220000500,41016.972819299997000
201,2673,2673,63165.706202900001000,71060392.432300001000000,11.328625974400000,4.584532278160000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1604.408937550000000,1604.408937550000000,45845.322781499999000
202,2674,2674,179067.666982000000000,247888644.961000000000000,39.519029461400002,15.992783818300000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,4548.318741359999900,4548.318741359999900,159927.838183000010000
203,2675,2675,36770.111815900003000,8345294.498549999700000,1.330427778180000,0.538405019869000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,933.960840122000040,933.960840122000040,5384.050198459999600
204,2676,2676,71129.107425800001000,15706660.052700000000000,2.503995136460000,1.013330879960000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1806.679328610000100,1806.679328610000100,10133.308799200000000
205,2677,2677,36390.202895100003000,17963437.072200000000000,2.863776188680000,1.158929106150000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,924.311153533000040,924.311153533000040,11589.291061500000000
206,2678,2678,14099.518469700000000,10357126.299600000000000,1.651159049400000,0.668200360348000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,358.127769120999970,358.127769120999970,6682.003603469999700
207,2679,2679,17731.136869900001000,22073929.281100001000000,3.519081165360000,1.424121621500000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,450.370876496999980,450.370876496999980,14241.216214900000000
208,2680,2680,25677.333002799998000,13026365.003500000000000,2.076695777770000,0.840408964563000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,652.204258271999950,652.204258271999950,8404.089645660000300
209,2681,2681,31469.194271500000000,40846401.445400000000000,6.511835757420000,2.635246435650000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,799.317534499999970,799.317534499999970,26352.464356299999000
210,2682,2682,86143.567381500005000,69334780.879199997000000,11.053524653000000,4.473202723200000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2188.046611499999900,2188.046611499999900,44732.027232000000000
211,2683,2683,25751.767899900002000,34511070.923699997000000,5.501841477220000,2.226516251710000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,654.094904658000020,654.094904658000020,22265.162517100001000
212,2684,2684,43635.303607100002000,11509467.324400000000000,1.834868145540000,0.742544793904000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1108.336711620000000,1108.336711620000000,7425.447938979999900
213,2685,2685,96335.813286999997000,33467103.237500001000000,5.335409530520000,2.159163632470000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,2446.929657490000000,2446.929657490000000,21591.636324800002000
