FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
2124,75235,BWC-S,M690.2A,8/15/1991 0:00:00,639243,4841764,NA,2054,59.203321664199997
2125,75251,BWC-S,F1.RS,8/4/1997 0:00:00,572145,4918245,0,226,144.354600678000000
2126,75278,BWC-S,F31A.RS,7/11/2007 0:00:00,733825,4664735,1,4713,8.764857050350001
2127,75325,BWC-S,F8.RS,10/8/2008 0:00:00,638920,4837850,0,2671,144.366210131000000
2128,75326,BWC-S,F9.RS,10/14/2010 0:00:00,641120,4839200,0,2673,820.345967985000020
2129,75367,BWC-S,F7.RS,8/15/2013 0:00:00,733875,4663985,1,3616,25.348766850800001
2130,75378,BWC-S,F7.RS,8/13/2002 0:00:00,729025,4669885,1,3695,3.581724791300000
2131,75410,TWZ,M796.9N,10/19/2015 0:00:00,531031,4939825,0,1175,39.806973667800001
2132,75456,BWC-S,F9.RS,9/30/2002 0:00:00,640320,4841550,0,2709,0.000000000000000
2133,75471,IMP-S,H24A.RS,8/28/2017 0:00:00,733675,4646435,0,3466,202.259572104000000
2134,75483,MCB-W,M796.7M,8/11/1997 0:00:00,531610,4939625,0,1172,52.542051957300004
2135,75503,BWC-S,F57A.RS,8/1/2000 0:00:00,735725,4653985,1,4171,82.813960501300002
2136,75507,BWC-S,F10.RS,9/25/2014 0:00:00,643520,4841400,0,2288,271.587433400000010
2137,75541,BWC-S,F3.RS,10/6/2015 0:00:00,716325,4678986,1,3409,54.888981101699997
2138,75544,IMP-S,F11.RS,8/12/1998 0:00:00,735775,4650985,1,4265,598.156017378999990
2139,75553,BWC-S,F15A.RS,10/9/2001 0:00:00,638570,4857950,0,2556,0.000000000000000
2140,75568,BWC-S,F6.RS,9/22/1993 0:00:00,639120,4842000,1,2054,266.923759174999990
2141,75577,BWC-S,F8.RS,6/29/2017 0:00:00,735325,4656535,0,3516,59.679903273699999
2142,75578,BWC-S,F3.RS,9/28/1998 0:00:00,713775,4680835,0,3434,27.019417199599999
2143,75584,BWC-S,F49A.RS,6/30/2011 0:00:00,732525,4662285,1,3596,23.784056795100000
2144,75601,BWC-S,F11.RS,7/20/2015 0:00:00,641870,4840500,0,2809,447.603896980999990
2145,75616,BWC-S,M690.2A,9/25/1991 0:00:00,639243,4841764,NA,2054,59.203321664199997
2146,75715,MCB-W,M796.7M,8/21/1990 0:00:00,531610,4939625,NA,1172,52.542051957300004
2147,75832,BWC-S,F3A.RS,8/7/2007 0:00:00,737225,4651535,1,3479,78.403693680499998
2148,75883,IMP-S,D15.RS,9/28/2015 0:00:00,738175,4650735,1,3162,30.415230518700000
2149,76002,SCB,C33A.RS,6/19/2012 0:00:00,578545,4914095,1,1835,49.369786704900001
2150,76044,SCB,D12.RS,8/16/2012 0:00:00,641420,4841150,0,1950,141.809233694999990
2151,76046,BWC-S,D8.RS,10/12/2004 0:00:00,735425,4652935,1,3176,1.460796239230000
2152,76049,IMP-S,H9A.RS,7/5/2007 0:00:00,735225,4650835,1,4265,150.383257692999990
