FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
4640,165031,SCB,D13.RS,6/29/2010 0:00:00,583195,4910695,1,475,13.527780461500001
4641,165072,MCB-U,M694.5M,7/26/1990 0:00:00,641203,4847832,NA,5606,71.568001926999997
4642,165090,MCB-W,M550.5,8/13/1992 0:00:00,720132,4675233,0,13342,120.617120767000000
4643,165507,BWC-S,M757.5,6/24/1992 0:00:00,581581,4913699,0,329,3.276340395400000
4644,165508,IMP-S,F11.RS,6/20/2017 0:00:00,735775,4651135,1,8746,7.910664069010000
4645,165515,BWC-S,M788.9,7/14/1992 0:00:00,539700,4935467,0,3274,56.287384583700003
4646,165555,BWC-S,F88A.RS,9/23/1993 0:00:00,640020,4837950,0,4924,3.391825670600000
4647,165562,BWC-S,F5.RS,10/9/1996 0:00:00,579545,4915345,NA,529,0.000000000000000
4648,165569,BWC-S,F10.RS,10/13/1997 0:00:00,643720,4844050,0,5225,0.000000000000000
4649,165674,BWC-S,F9.RS,9/25/2000 0:00:00,641070,4839300,0,4933,0.000000000000000
4650,165676,BWC-S,F6.RS,9/16/1997 0:00:00,737025,4654985,0,8776,4.984442129890000
4651,165677,BWC-S,F6.RS,7/9/2007 0:00:00,729725,4669485,1,11283,22.314695087600001
4652,165772,IMP-S,F11.RS,6/20/2001 0:00:00,738125,4650785,1,9432,57.767825344800002
4653,165774,BWC-S,F9.RS,8/30/2017 0:00:00,737425,4653785,1,9755,141.468051491000010
4654,165783,BWC-S,F1.RS,10/5/1993 0:00:00,715925,4679085,1,12749,13.079460821400000
4655,165868,BWC-S,D24.RS,8/16/2007 0:00:00,581695,4911195,0,2260,17.370594008800001
4656,165869,BWC-S,F13A.RS,7/2/2015 0:00:00,718575,4677086,1,9658,22.279337562300000
4657,165987,MCB-W,M551.8C,9/24/2008 0:00:00,718294,4676082,0,10092,58.967103424100003
4658,166020,BWC-S,D7.RS,7/7/2017 0:00:00,715375,4680136,0,13347,32.511346392800000
4659,166432,BWC-S,F6.RS,7/16/2013 0:00:00,733375,4668435,1,9919,212.383905687000010
4660,166468,BWC-S,F7.RS,10/2/2013 0:00:00,732525,4662885,0,9868,48.367857540800003
4661,166469,BWC-S,M692.7R,10/16/1990 0:00:00,642904,4844961,NA,5331,0.833787530085000
