FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag
82,3221,MCB-W,M227.3W,9/1/2015 0:00:00,713145,4304994,0
83,3297,MCB-W,M235.0W,10/7/2015 0:00:00,703215,4309782,0
84,3359,SCB,I113.0Tb,10/9/2009 0:00:00,743494,4454903,1
85,3449,MCB-U,D31.RS,8/28/2002 0:00:00,763100,4484100,0
86,3485,MCB-U,D1.RS,9/21/2010 0:00:00,738600,4451950,0
87,3525,SCB,D10.RS,8/5/2015 0:00:00,733820,4312585,1
88,3568,MCB-U,D8.RS,8/7/1997 0:00:00,746670,4306485,1
89,3608,BWC-S,D15.RS,8/17/2011 0:00:00,729820,4313085,0
90,3609,SCB,D15.RS,7/20/2000 0:00:00,738750,4449500,1
91,3625,SCB,D9.RS,6/18/2012 0:00:00,736870,4312485,0
92,3699,MCB-U,B16A.RS,10/13/2006 0:00:00,820245,4113540,0
93,3795,MCB-U,D19.RS,10/11/2000 0:00:00,746270,4306285,1
94,3834,BWC-S,F98A.RS,8/12/1994 0:00:00,746000,4458300,0
95,4141,SCB,D21.RS,8/18/2000 0:00:00,716220,4307435,1
96,4152,BWC-S,D31.RS,8/13/1999 0:00:00,775600,4494000,0
97,4153,MCB-W,M225.1W,6/21/2007 0:00:00,715436,4308059,0
98,4207,MCB-U,D1.RS,8/7/2013 0:00:00,732220,4311385,1
99,4248,MCB-U,D11.RS,6/30/2011 0:00:00,714050,4430500,0
100,4251,BWC-S,F255A.RS,10/20/1999 0:00:00,726950,4445350,1
101,4274,MCB-U,D8.RS,8/15/2002 0:00:00,746620,4305835,0
102,4283,SCB,80785.1689,8/28/1997 0:00:00,807845,4168890,0
103,4295,MCB-U,D33.RS,9/21/2006 0:00:00,719150,4434800,1
104,4351,MCB-U,D5.RS,10/19/2004 0:00:00,712470,4305585,0
105,4420,BWC-S,D13.RS,10/16/2002 0:00:00,736970,4309985,0
106,4421,SCB,C79A.RS,9/15/1994 0:00:00,808795,4131840,1
107,4439,MCB-W,M040.4E,10/4/2000 0:00:00,815886,4119870,0
108,4599,TRI,BM00.7S,11/5/1993 0:00:00,808267,4164557,1
109,4682,SCB,D14.RS,8/28/1995 0:00:00,707020,4306135,1
110,4704,BWC-S,E17A.RS,8/27/1998 0:00:00,742420,4306635,1
111,4748,TRI,BM00.7S,9/3/1998 0:00:00,808309,4164557,1
112,4780,TRI,HD00.9M,7/29/2011 0:00:00,808024,4127458,1
113,4900,MCB-W,M219.8E,10/22/2001 0:00:00,720101,4314977,0
114,4950,BWC-S,F2A.RS,9/11/2014 0:00:00,726720,4313935,1
115,5023,SCB,C14A.RS,9/7/2005 0:00:00,704470,4309635,0
116,5051,BWC-S,F372A.RS,10/19/2017 0:00:00,713900,4430050,1
117,5104,BWC-S,F7A.RS,10/30/2007 0:00:00,740470,4309135,1
118,5181,IMP-S,D21.RS,10/19/2009 0:00:00,744170,4306785,0
119,5418,MCB-W,D4.RS,7/26/1994 0:00:00,816395,4142040,0
120,5419,MCB-U,D16.RS,7/7/1995 0:00:00,749450,4467050,1
121,5431,BWC-S,F14A.RS,10/7/2016 0:00:00,731120,4311785,1
122,5454,BWC-S,F39A.RS,6/18/2012 0:00:00,743070,4306735,1
