RowID,stratum,lcode,sdate,utm_e,utm_n,snag
239079,SCB,D4.RS,10/29/2002,640620,4842050,0
239109,MCB-W,M536.2V,8/30/2004,734655,4662426,0
239244,BWC-S,D9.RS,9/21/2001,643120,4842100,0
239245,SCB,D6.RS,9/9/2010,640670,4838800,0
239327,SCB,D2.RS,9/28/2007,729125,4671685,1
239336,SCB,D24.RS,9/10/2010,640120,4838700,1
239350,IMP-S,D16.RS,9/30/2010,734425,4648435,1
239413,MCB-U,D3.RS,8/25/2006,736475,4653735,1
239443,MCB-W,M700.1C,10/18/2007,638083,4854761,0
239465,MCB-U,D2.RS,6/30/2000,534995,4937995,1
239487,SCB,D9.RS,10/26/1998,641970,4847100,1
239501,MCB-U,D1.RS,7/1/1993,639920,4853250,1
239510,SCB,D7.RS,6/18/2015,643670,4844300,0
239537,MCB-W,M695.1M,9/27/2007,640868,4848504,0
239634,SCB,D24.RS,9/8/2008,639620,4854050,1
239660,BWC-S,D20.RS,8/18/2014,639870,4837950,0
239682,BWC-S,F44A.RS,10/21/2008,578995,4912945,1
239733,SCB,D13.RS,9/27/2001,583695,4912095,1
239778,BWC-S,D17.RS,6/27/1996,574695,4916745,0
239821,MCB-U,D4.RS,10/11/2010,583845,4909895,1
239892,SCB,D8.RS,10/22/2002,577995,4914895,1
239916,BWC-S,F7A.RS,9/3/1998,642720,4844850,1
239946,MCB-U,D4.RS,6/25/2004,575445,4916395,1
239971,SCB,D14.RS,10/11/1999,582845,4911545,1
240031,BWC-S,F45A.RS,10/24/2007,580195,4912945,1
240050,SCB,D10.RS,10/19/1993,641875,4840349,1
240119,BWC-S,D19.RS,10/13/2014,639420,4841850,0
240120,BWC-S,D14.RS,8/25/2015,737625,4655885,0
240121,IMP-S,D24.RS,10/20/1997,641220,4835050,1
240157,MCB-W,M530.5L,8/25/2000,736560,4654016,0
240214,BWC-S,F77A.RS,10/26/1995,733875,4664085,1
240252,BWC-S,D9.RS,7/14/1994,736925,4657985,0
240283,MCB-W,M552.7K,10/27/2014,716608,4676608,0
240298,MCB-U,D3.RS,7/6/2000,575795,4915795,1
240428,BWC-S,D17.RS,10/13/2016,642970,4841650,0
240442,IMP-S,D24.RS,8/10/2011,640470,4828850,0
240503,SCB,D8.RS,10/4/1996,582895,4913195,NA
240524,BWC-S,D18.RS,9/25/2014,543395,4933945,0
240525,SCB,M536.2P,7/15/1991,734166,4663472,NA
240543,BWC-S,D10.RS,9/7/2007,542295,4935145,0
240544,MCB-U,D3.RS,9/28/1995,639670,4837150,1
240579,BWC-S,M692.7T,10/18/1990,643550,4845070,1
240585,SCB,D11.RS,7/6/1999,578945,4913645,1
240613,BWC-S,D14.RS,8/25/1994,737125,4653835,0
240670,IMP-S,D24.RS,6/24/2014,642070,4827300,1
